Created as New Dataset,
nm,%R
246.0,58.30
245.0,58.12
244.0,57.94
243.0,57.85
242.0,57.76
241.0,57.68
240.0,57.65
239.0,57.63
238.0,57.61
237.0,57.68
236.0,57.76
235.0,57.88
234.0,57.96
233.0,57.99
232.0,58.06
231.0,58.15
230.0,58.24
229.0,58.35
228.0,58.47
227.0,58.64
226.0,58.77
225.0,58.90
224.0,59.05
223.0,59.17
222.0,59.29
221.0,59.35
220.0,59.44
219.0,59.53
218.0,59.58
217.0,59.66
216.0,59.75
215.0,59.72
214.0,59.78
213.0,59.82
212.0,59.89
211.0,59.96
210.0,60.00
209.0,60.11
208.0,60.27
207.0,60.47
206.0,60.64
205.0,60.94
204.0,61.30
203.0,61.67
202.0,62.10
201.0,62.56
200.0,63.04
